model,mean_error,max_error,rollout_time,hidden_dim,num_layers,dt
NeuralRK_VDP_hd124_layers16_dt0.1_RK4.pt,0.023880887776613235,0.10342788696289062,0.003999233245849609,124,16,0.1
NeuralRK_VDP_hd124_layers1_dt0.1_RK4.pt,0.020606234669685364,0.10625183582305908,0.0,124,1,0.1
NeuralRK_VDP_hd124_layers2_dt0.1_RK4.pt,0.019072776660323143,0.11401484906673431,0.0,124,2,0.1
NeuralRK_VDP_hd124_layers4_dt0.1_RK4.pt,0.019029825925827026,0.10489223897457123,0.0,124,4,0.1
NeuralRK_VDP_hd124_layers8_dt0.1_RK4.pt,0.021595347672700882,0.09577883780002594,0.0,124,8,0.1
NeuralRK_VDP_hd16_layers16_dt0.1_RK4.pt,0.0251789391040802,0.11800305545330048,0.0,16,16,0.1
NeuralRK_VDP_hd16_layers1_dt0.1_RK4.pt,0.04823855310678482,0.2478797286748886,0.0,16,1,0.1
NeuralRK_VDP_hd16_layers2_dt0.1_RK4.pt,0.025315944105386734,0.106205053627491,0.0,16,2,0.1
NeuralRK_VDP_hd16_layers4_dt0.1_RK4.pt,0.02524225041270256,0.10289084911346436,0.008014202117919922,16,4,0.1
NeuralRK_VDP_hd16_layers8_dt0.1_RK4.pt,0.025200868025422096,0.13986290991306305,0.0,16,8,0.1
NeuralRK_VDP_hd1_layers16_dt0.1_RK4.pt,0.24580895900726318,0.5730341672897339,0.0,1,16,0.1
NeuralRK_VDP_hd1_layers1_dt0.1_RK4.pt,0.24537377059459686,0.7115022540092468,0.0,1,1,0.1
NeuralRK_VDP_hd1_layers2_dt0.1_RK4.pt,0.2449464499950409,0.5733073949813843,0.0,1,2,0.1
NeuralRK_VDP_hd1_layers4_dt0.1_RK4.pt,0.1845860779285431,0.34753552079200745,0.0,1,4,0.1
NeuralRK_VDP_hd1_layers8_dt0.1_RK4.pt,0.2463972121477127,0.5731920003890991,0.0,1,8,0.1
NeuralRK_VDP_hd32_layers16_dt0.1_RK4.pt,0.019144222140312195,0.10815275460481644,0.01001429557800293,32,16,0.1
NeuralRK_VDP_hd32_layers1_dt0.1_RK4.pt,0.01605760119855404,0.0648781806230545,0.0,32,1,0.1
NeuralRK_VDP_hd32_layers2_dt0.1_RK4.pt,0.01876930519938469,0.1215166375041008,0.0,32,2,0.1
NeuralRK_VDP_hd32_layers4_dt0.1_RK4.pt,0.024255165830254555,0.11077868193387985,0.0,32,4,0.1
NeuralRK_VDP_hd32_layers8_dt0.1_RK4.pt,0.020187249407172203,0.09585759043693542,0.0009167194366455078,32,8,0.1
NeuralRK_VDP_hd4_layers16_dt0.1_RK4.pt,0.24587824940681458,0.5741055011749268,0.0011992454528808594,4,16,0.1
NeuralRK_VDP_hd4_layers1_dt0.1_RK4.pt,0.10711215436458588,0.2870085835456848,0.0,4,1,0.1
NeuralRK_VDP_hd4_layers2_dt0.1_RK4.pt,0.09256152808666229,0.25150057673454285,0.0,4,2,0.1
NeuralRK_VDP_hd4_layers4_dt0.1_RK4.pt,0.11732403934001923,0.7087656259536743,0.0009918212890625,4,4,0.1
NeuralRK_VDP_hd4_layers8_dt0.1_RK4.pt,0.2456192970275879,0.5722545981407166,0.0009982585906982422,4,8,0.1
NeuralRK_VDP_hd64_layers16_dt0.1_RK4.pt,0.03193533420562744,0.11487555503845215,0.0,64,16,0.1
NeuralRK_VDP_hd64_layers1_dt0.1_RK4.pt,0.018730316311120987,0.10699397325515747,0.0,64,1,0.1
NeuralRK_VDP_hd64_layers2_dt0.1_RK4.pt,0.016935816034674644,0.1041707843542099,0.010095834732055664,64,2,0.1
NeuralRK_VDP_hd64_layers4_dt0.1_RK4.pt,0.02050931751728058,0.10570072382688522,0.0,64,4,0.1
NeuralRK_VDP_hd64_layers8_dt0.1_RK4.pt,0.01777409389615059,0.11979721486568451,0.0,64,8,0.1
NeuralRK_VDP_hd8_layers16_dt0.1_RK4.pt,0.1685314178466797,0.8214995265007019,0.0010008811950683594,8,16,0.1
NeuralRK_VDP_hd8_layers1_dt0.1_RK4.pt,0.10796810686588287,0.4532201290130615,0.0,8,1,0.1
NeuralRK_VDP_hd8_layers2_dt0.1_RK4.pt,0.04476872831583023,0.1473376750946045,0.0,8,2,0.1
NeuralRK_VDP_hd8_layers4_dt0.1_RK4.pt,0.047401707619428635,0.3754841983318329,0.0,8,4,0.1
NeuralRK_VDP_hd8_layers8_dt0.1_RK4.pt,0.03233723342418671,0.10004227608442307,0.0,8,8,0.1
