hidden_dim,num_layers,mean_error,max_error
1,1,0.1880219429731369,0.549683153629303
1,3,0.20948024094104767,0.6650043725967407
1,5,0.20332162082195282,0.658320963382721
1,6,0.18731893599033356,0.5505316257476807
4,1,0.07943218946456909,0.3715881109237671
4,3,0.00980851985514164,0.03046962432563305
4,5,0.016865788027644157,0.06794875860214233
4,6,0.06359650194644928,0.21545016765594482
9,1,0.02907465770840645,0.10565479844808578
9,3,0.006372452713549137,0.01868879795074463
9,5,0.009749183431267738,0.028174810111522675
9,6,0.005130947567522526,0.013713561929762363
16,1,0.023999134078621864,0.11917848885059357
16,3,0.0020885528065264225,0.008259890601038933
16,5,0.004469356033951044,0.023797614499926567
16,6,0.00469722505658865,0.02083153836429119
