model,mean_error,max_error,rollout_time,hidden_dim,num_layers,dt
NeuralRK_VDP_hd124_layers16_dt0.1_RK4.pt,0.01560541708022356,0.06293154507875443,0.001649618148803711,124,16,0.1
NeuralRK_VDP_hd124_layers1_dt0.1_RK4.pt,0.018286220729351044,0.055540233850479126,0.0,124,1,0.1
NeuralRK_VDP_hd124_layers2_dt0.1_RK4.pt,0.017066681757569313,0.05785362794995308,0.0,124,2,0.1
NeuralRK_VDP_hd124_layers4_dt0.1_RK4.pt,0.017196396365761757,0.060300931334495544,0.006099224090576172,124,4,0.1
NeuralRK_VDP_hd124_layers8_dt0.1_RK4.pt,0.021008865907788277,0.05129227042198181,0.0,124,8,0.1
NeuralRK_VDP_hd16_layers16_dt0.1_RK4.pt,0.02494238317012787,0.06381096690893173,0.0,16,16,0.1
NeuralRK_VDP_hd16_layers1_dt0.1_RK4.pt,0.0354967899620533,0.11034196615219116,0.0,16,1,0.1
NeuralRK_VDP_hd16_layers2_dt0.1_RK4.pt,0.021864157170057297,0.05934442579746246,0.0,16,2,0.1
NeuralRK_VDP_hd16_layers4_dt0.1_RK4.pt,0.019716832786798477,0.06416404247283936,0.004000425338745117,16,4,0.1
NeuralRK_VDP_hd16_layers8_dt0.1_RK4.pt,0.019164079800248146,0.0668754056096077,0.0,16,8,0.1
NeuralRK_VDP_hd1_layers16_dt0.1_RK4.pt,0.26160523295402527,0.8257253766059875,0.0,1,16,0.1
NeuralRK_VDP_hd1_layers1_dt0.1_RK4.pt,0.26439234614372253,1.4592347145080566,0.0,1,1,0.1
NeuralRK_VDP_hd1_layers2_dt0.1_RK4.pt,0.26303619146347046,0.8529560565948486,0.0,1,2,0.1
NeuralRK_VDP_hd1_layers4_dt0.1_RK4.pt,0.21658818423748016,0.5888175964355469,0.0,1,4,0.1
NeuralRK_VDP_hd1_layers8_dt0.1_RK4.pt,0.26046642661094666,0.8049035668373108,0.0,1,8,0.1
NeuralRK_VDP_hd32_layers16_dt0.1_RK4.pt,0.01856880448758602,0.04783361405134201,0.001508951187133789,32,16,0.1
NeuralRK_VDP_hd32_layers1_dt0.1_RK4.pt,0.019100770354270935,0.047313589602708817,0.0,32,1,0.1
NeuralRK_VDP_hd32_layers2_dt0.1_RK4.pt,0.018323596566915512,0.0588320828974247,0.0010132789611816406,32,2,0.1
NeuralRK_VDP_hd32_layers4_dt0.1_RK4.pt,0.01888018287718296,0.07020464539527893,0.0,32,4,0.1
NeuralRK_VDP_hd32_layers8_dt0.1_RK4.pt,0.018637314438819885,0.05869731307029724,0.0,32,8,0.1
NeuralRK_VDP_hd4_layers16_dt0.1_RK4.pt,0.2608707845211029,0.8144909739494324,0.0012526512145996094,4,16,0.1
NeuralRK_VDP_hd4_layers1_dt0.1_RK4.pt,0.11450320482254028,0.32010993361473083,0.0,4,1,0.1
NeuralRK_VDP_hd4_layers2_dt0.1_RK4.pt,0.08435496687889099,0.2509237229824066,0.0,4,2,0.1
NeuralRK_VDP_hd4_layers4_dt0.1_RK4.pt,0.07119609415531158,0.20342692732810974,0.0,4,4,0.1
NeuralRK_VDP_hd4_layers8_dt0.1_RK4.pt,0.2624223828315735,0.8390410542488098,0.0,4,8,0.1
NeuralRK_VDP_hd64_layers16_dt0.1_RK4.pt,0.01993001252412796,0.06389222294092178,0.0,64,16,0.1
NeuralRK_VDP_hd64_layers1_dt0.1_RK4.pt,0.01969250664114952,0.05380556359887123,0.0004475116729736328,64,1,0.1
NeuralRK_VDP_hd64_layers2_dt0.1_RK4.pt,0.016838904470205307,0.05825500935316086,0.0010006427764892578,64,2,0.1
NeuralRK_VDP_hd64_layers4_dt0.1_RK4.pt,0.018527762964367867,0.05935153365135193,0.0007288455963134766,64,4,0.1
NeuralRK_VDP_hd64_layers8_dt0.1_RK4.pt,0.018931765109300613,0.0645228922367096,0.0,64,8,0.1
NeuralRK_VDP_hd8_layers16_dt0.1_RK4.pt,0.07132749259471893,0.1429835855960846,0.0,8,16,0.1
NeuralRK_VDP_hd8_layers1_dt0.1_RK4.pt,0.0903664231300354,0.29212599992752075,0.0,8,1,0.1
NeuralRK_VDP_hd8_layers2_dt0.1_RK4.pt,0.03567039221525192,0.08608429878950119,0.0,8,2,0.1
NeuralRK_VDP_hd8_layers4_dt0.1_RK4.pt,0.028407011181116104,0.06124091520905495,0.0,8,4,0.1
NeuralRK_VDP_hd8_layers8_dt0.1_RK4.pt,0.024051135405898094,0.09490631520748138,0.0,8,8,0.1
